Código,Nome,PU,Taxa Indicativa,data,Indexer
CEEBA3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),1070.35,0.44,27/09/2024,DI +
CEEBA6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),1033.24,1.35,27/09/2024,DI +
CEEBA7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),1058.16,0.72,27/09/2024,DI +
CEEBA8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),1046.8,0.57,27/09/2024,DI +
CEEBB3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),1079.86,0.62,27/09/2024,DI +
CEEBB8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),1052.32,0.67,27/09/2024,DI +
CEED11,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*) (**),511.16,0.81,27/09/2024,DI +
CEED14,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),1058.3,0.99,27/09/2024,DI +
CEED16,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),1018.56,0.96,27/09/2024,DI +
CELG12,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*) (**),504.7,1.11,27/09/2024,DI +
CELP16,CENTRAIS ELETRICAS DO PARA S.A - CELPA (*) (**),1.06,0.82,27/09/2024,DI +
CEMTE2,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.(*) (**),1050.82,0.52,27/09/2024,DI +
CEPEA1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),1061.86,0.96,27/09/2024,DI +
CEPEA3,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),1054.51,0.83,27/09/2024,DI +
CEPEA4,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),1013.49,0.88,27/09/2024,DI +
CEPEB1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),1069.22,1.04,27/09/2024,DI +
CEPEB2,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),1064.4,1.4,27/09/2024,DI +
CERO19,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,1057.05,0.51,27/09/2024,DI +
CESE22,CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A. (*) (**),1037.94,0.9,27/09/2024,DI +
CGASA0,COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*),1003.82,0.8,27/09/2024,DI +
CGBP13,CONTOUR GLOBAL DO BRASIL PARTICIPACOES S.A (*) (**),897.62,1.36,27/09/2024,DI +
CGEE11,COMPANHIA ESTADUAL DE GERACAO DE ENERGIA ELETRICA - CEEE-G (*) (**),1040.76,2.01,27/09/2024,DI +
CGOS14,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),1.08,0.83,27/09/2024,DI +
CGOS15,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),1010.09,0.82,27/09/2024,DI +
CGOS17,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),1017.41,0.94,27/09/2024,DI +
CIEL16,CIELO S/A,1009.53,0.43,27/09/2024,DI +
CIME12,CIMED INDUSTRIA S.A (*) (**),1048.05,1.37,27/09/2024,DI +
CLCD14,CELESC DISTRIBUIÇÃO S/A (*) (**),449.87,0.75,27/09/2024,DI +
CLCD16,CELESC DISTRIBUIÇÃO S/A (*),1068.57,0.75,27/09/2024,DI +
CLCD17,CELESC DISTRIBUIÇÃO S/A (*),1025.09,0.79,27/09/2024,DI +
CLII12,CORREDOR LOGISTICA E INFRAESTRUTURA S.A (*),1112.24,1.85,27/09/2024,DI +
CMGD18,CEMIG DISTRIBUIÇÃO S/A (*) (**),1051.53,0.59,27/09/2024,DI +
CMGD19,CEMIG DISTRIBUIÇÃO S/A (*) (**),1053.27,1.4,27/09/2024,DI +
CMGDA0,CEMIG DISTRIBUIÇÃO S/A (*),1020.25,0.58,27/09/2024,DI +
CMPH14,CM HOSPITALAR S.A.,921.76,8.26,27/09/2024,DI +
CMTR19,CEMIG GERAÇÃO E TRANSMISSÃO S/A (*),1048.65,0.55,27/09/2024,DI +
COCE19,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE (*),1033.1,0.9,27/09/2024,DI +
COGNA2,COGNA EDUCACAO S.A (*),1042.54,1.26,27/09/2024,DI +
COGNB2,COGNA EDUCACAO S.A (*),1045.22,1.48,27/09/2024,DI +
COMR13,COMERC PARTICIPACOES S.A. (*) (**),1068.92,2.08,27/09/2024,DI +
COMR16,COMERC PARTICIPACOES S.A. (*),1064.93,1.62,27/09/2024,DI +
CPFPA4,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),1068.07,0.64,27/09/2024,DI +
CPFPA6,COMPANHIA PIRATININGA DE FORÇA E LUZ (*),887.59,0.62,27/09/2024,DI +
CPGT17,COPEL GERAÇÃO E TRANSMISSÃO S/A (*) (**),1063.19,0.73,27/09/2024,DI +
CPGT18,COPEL GERAÇÃO E TRANSMISSÃO S/A (*),1050.43,0.7,27/09/2024,DI +
CPLD16,COPEL DISTRIBUICAO S/A (*) (**),1040.17,1.27,27/09/2024,DI +
CPLD17,COPEL DISTRIBUICAO S/A (*) (**),523.92,0.46,27/09/2024,DI +
CPLD19,COPEL DISTRIBUICAO S/A (*),1031.88,0.66,27/09/2024,DI +
CPLD27,COPEL DISTRIBUICAO S/A (*),1057.95,0.61,27/09/2024,DI +
CPLD28,COPEL DISTRIBUICAO S/A (*),1053.79,1.06,27/09/2024,DI +
CPLD38,COPEL DISTRIBUICAO S/A (*),1071.1,1.09,27/09/2024,DI +
CPTE12,CACHOEIRA PAULISTA TRANS. DE ENERGIA S/A (*),840.72,0.97,27/09/2024,DI +
CRFB16,ATACADAO S.A. (*) (**),1030.87,0.75,27/09/2024,DI +
CRFB26,ATACADAO S.A. (*) (**),1034.55,0.92,27/09/2024,DI +
CRNP11,CONCESSIONARIA DE RODOVIAS NOROESTE PAULISTA S.A. (*) (**),1066.88,1.7,27/09/2024,DI +
CSAN13,COSAN S.A. (*) (**),1036.0,0.87,27/09/2024,DI +
CSAN14,COSAN S.A. (*),1067.66,0.82,27/09/2024,DI +
CSAN15,COSAN S.A. (*),1088.74,1.28,27/09/2024,DI +
CSAN16,COSAN S.A. (*),1065.15,1.4,27/09/2024,DI +
CSAN18,COSAN S.A. (*),1047.62,1.21,27/09/2024,DI +
CSAN23,COSAN S.A. (*),1047.59,1.21,27/09/2024,DI +
CSAN24,COSAN S.A. (*),1079.52,1.23,27/09/2024,DI +
CSANA0,COSAN S.A. (*),1033.64,0.85,27/09/2024,DI +
CSANB0,COSAN S.A. (*),1037.76,1.35,27/09/2024,DI +
CSMGA5,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*) (**),389.03,0.68,27/09/2024,DI +
CSMGA7,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),1021.36,0.63,27/09/2024,DI +
CSMGA8,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),1016.03,0.81,27/09/2024,DI +
CSMGA9,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),1034.77,0.62,27/09/2024,DI +
CSMGB6,CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*),622.03,0.63,27/09/2024,DI +
CSNAA1,COMPANHIA SIDERÚRGICA NACIONAL (*) (**),1001.94,3.23,27/09/2024,DI +
CSNAA2,COMPANHIA SIDERÚRGICA NACIONAL (*) (**),1018.49,3.26,27/09/2024,DI +
CSRNA2,COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*),1001.39,1.02,27/09/2024,DI +
CTEE19,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP,1112.04,0.45,27/09/2024,DI +
CTEEA2,COMPANHIA DE TRANSMISSÃO DE ENERGIA ELÉTRICA PAULISTA - CTEEP (*),1087.14,0.44,27/09/2024,DI +
CTNS19,ENERGISA TOCANTINS - DISTRIBUIDORA DE ENERGIA S.A (*) (**),1017.0,0.63,27/09/2024,DI +
CTNS25,ENERGISA TOCANTINS - DISTRIBUIDORA DE ENERGIA S.A (*) (**),1037.36,1.02,27/09/2024,DI +
CTTP11,CAP TC TORRES E PARTICIPACOES S.A. (*) (**),1107.13,5.39,27/09/2024,DI +
CVCB14,CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.,1.05,5.83,27/09/2024,DI +
DASAA2,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),519.6,1.41,27/09/2024,DI +
DASAA4,DIAGNÓSTICOS DA AMÉRICA S/A (*),1048.35,3.33,27/09/2024,DI +
DASAA5,DIAGNÓSTICOS DA AMÉRICA S/A (*),1008.36,3.9,27/09/2024,DI +
DASAA6,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),1011.14,3.97,27/09/2024,DI +
DASAA8,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),986.41,4.33,27/09/2024,DI +
DASAB4,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),1031.49,3.57,27/09/2024,DI +
DASAB5,DIAGNÓSTICOS DA AMÉRICA S/A (*),967.13,4.46,27/09/2024,DI +
DASAC5,DIAGNÓSTICOS DA AMÉRICA S/A (*),946.35,4.54,27/09/2024,DI +
DESK13,DESKTOP S/A (*) (**),1070.43,1.33,27/09/2024,DI +
DESK15,DESKTOP S/A (*) (**),1070.63,1.32,27/09/2024,DI +
DESK16,DESKTOP S/A (*),1031.46,1.42,27/09/2024,DI +
DIRR18,DIRECIONAL ENGENHARIA S/A (*) (**),1065.88,0.9,27/09/2024,DI +
EBENA2,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (*) (**),688.13,0.41,27/09/2024,DI +
EBENA3,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (*) (**),1041.12,0.6,27/09/2024,DI +
EBENA4,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (*) (**),1048.64,0.59,27/09/2024,DI +
EBENA5,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (*),1021.73,0.54,27/09/2024,DI +
EBENA7,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (*),1034.37,0.45,27/09/2024,DI +
ECOS15,EMPRESA CONCESSINÁRIA DE RODOVIAS DO SUL S.A. - ECOSUL (*) (**),1048.96,1.91,27/09/2024,DI +
ECOV15,CONCESSIONÁRIA ECOVIAS DOS IMIGRANTES S/A (*) (**),1067.88,0.89,27/09/2024,DI +
ECRD13,ECORIOMINAS CONCESSIONARIA DE RODOVIAS S.A. (*) (**),1047.59,0.46,27/09/2024,DI +
EDVP18,ENERGISA SUL-SUDESTE - DISTRIBUICAO DE ENERGIA S.A,1024.67,0.99,27/09/2024,DI +
EEEL18,CPFL TRANSMISSAO S.A (*) (**),1053.52,0.75,27/09/2024,DI +
EEEL19,CPFL TRANSMISSAO S.A (*) (**),1046.0,0.62,27/09/2024,DI +
EEEL28,CPFL TRANSMISSAO S.A (*),1065.88,0.7,27/09/2024,DI +
EESG13,ENVIRONMENTAL ESG PARTICIPACOES S.A. (*) (**),1032.26,2.8,27/09/2024,DI +
EGIED1,ENGIE BRASIL ENERGIA S.A. (*),1055.57,0.56,27/09/2024,DI +
EKTR19,ELEKTRO REDES S.A. (*) (**),1057.6,0.51,27/09/2024,DI +
EKTR29,ELEKTRO REDES S.A. (*) (**),1072.33,0.82,27/09/2024,DI +
EKTRA0,ELEKTRO REDES S.A. (*) (**),1063.35,0.75,27/09/2024,DI +
EKTRA1,ELEKTRO REDES S.A. (*) (**),1040.47,0.61,27/09/2024,DI +
EKTRA3,ELEKTRO REDES S.A. (*),1047.32,0.87,27/09/2024,DI +
EKTRB0,ELEKTRO REDES S.A. (*),1079.8,0.56,27/09/2024,DI +
ELET13,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS,1075.83,0.42,27/09/2024,DI +
ELET15,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*),1057.26,0.63,27/09/2024,DI +
ELET24,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*),1028.31,0.71,27/09/2024,DI +
ELET25,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*),1061.52,0.75,27/09/2024,DI +
ELET32,CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*) (**),1052.12,0.59,27/09/2024,DI +
ELFA12,ELFA MEDICAMENTOS SA (*),749.43,29.23,27/09/2024,DI +
ELPLA4,ELETROPAULO METROP. ELETRIC. DE S.P. S/A (*) (**),521.13,0.7,27/09/2024,DI +
ENAT21,ENAUTA PARTICIPACOES S.A. (*),1095.63,1.9,27/09/2024,DI +
ENEV38,ENEVA S.A. (*),1057.39,0.75,27/09/2024,DI +
ENEV48,ENEVA S.A. (*),1078.47,0.86,27/09/2024,DI +
ENEVC0,ENEVA S.A. (*),1052.52,0.76,27/09/2024,DI +
ENEVD0,ENEVA S.A. (*),1056.94,0.87,27/09/2024,DI +
ENGIA3,ENERGISA S/A,342.92,0.34,27/09/2024,DI +
ENGIA7,ENERGISA S/A,1075.3,0.46,27/09/2024,DI +
ENGIA8,ENERGISA S/A,1191.16,0.58,27/09/2024,DI +
ENGIB5,ENERGISA S/A,1072.02,0.73,27/09/2024,DI +
ENGIB7,ENERGISA S/A,1088.47,0.64,27/09/2024,DI +
ENGIB8,ENERGISA S/A,1082.57,0.52,27/09/2024,DI +
ENGIC5,ENERGISA S/A,1095.73,0.58,27/09/2024,DI +
ENGIC6,ENERGISA S/A,1078.54,0.42,27/09/2024,DI +
ENGIC9,ENERGISA S/A,1034.24,0.51,27/09/2024,DI +
ENMTA2,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,341.74,0.75,27/09/2024,DI +
ENMTA8,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,1048.44,0.64,27/09/2024,DI +
EQMA19,EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A (*) (**),1059.67,0.7,27/09/2024,DI +
EQMAA1,EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A (*),1041.91,0.87,27/09/2024,DI +
EQPA17,CENTRAIS ELETRICAS DO PARA S.A - CELPA (*),1017.87,0.88,27/09/2024,DI +
EQTL15,EQUATORIAL ENERGIA S.A (*) (**),1047.14,0.72,27/09/2024,DI +
EQTL25,EQUATORIAL ENERGIA S.A (*),1056.65,0.97,27/09/2024,DI +
ERDVA1,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*),1032.63,0.77,27/09/2024,DI +
ERDVA2,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*),1061.92,1.0,27/09/2024,DI +
ERDVA3,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*),1082.94,0.93,27/09/2024,DI +
ERDVB3,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*),1104.68,1.12,27/09/2024,DI +
ESCEA2,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA SA (*) (**),1049.96,0.5,27/09/2024,DI +
ESCEA3,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA SA (*),1013.91,0.84,27/09/2024,DI +
ESULA4,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,342.76,0.4,27/09/2024,DI +
ESULA8,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A. (*) (**),1015.67,0.69,27/09/2024,DI +
EUFA15,EUROFARMA LABORATÓRIOS S/A (*) (**),1050.23,0.99,27/09/2024,DI +
EUFA17,EUROFARMA LABORATÓRIOS S/A (*) (**),1009.31,1.15,27/09/2024,DI +
EUFA18,EUROFARMA LABORATÓRIOS S/A (*) (**),1008.4,0.83,27/09/2024,DI +
